Word,POS Tag,Frequency
nambah,VERB,1
nambah,NOUN,1
namanya,NOUN,1
terimakasi,NUM,1
y,PROPN,1
ngerti,VERB,1
senang,PROPN,1
tinggi,ADJ,1
udh,NUM,1
senang,ADV,1
nie,NOUN,1
wong,NOUN,1
nice,PROPN,1
tingkat,NOUN,1
sendiri,ADJ,1
sensasinya,NUM,1
sendri,NUM,1
ngising,NUM,1
senior,ADJ,1
ngimong,PROPN,1
nggak,NOUN,1
senja,NOUN,1
ngga,X,1
n,PROPN,1
n,ADV,1
mungkin,ADV,1
mesti,ADP,1
mksh,NUM,1
mitos,NOUN,1
si,VERB,1
siaga,NOUN,1
siap,VERB,1
sigap,NOUN,1
minggu2,NOUN,1
mesan,VERB,1
shobat,NUM,1
meringankan,VERB,1
meringan,NOUN,1
merespon,VERB,1
merasakan,VERB,1
menyukainya,PROPN,1
sih,NOUN,1
menyenangkan,VERB,1
mksih,PROPN,1
mmbantu,PROPN,1
mulia,ADJ,1
mnyampaikn,NOUN,1
seterusnya,NOUN,1
setuju,VERB,1
tip,NOUN,1
terimahkasih,PROPN,1
much,NOUN,1
msih,NOUN,1
sgtu,NUM,1
mntap,PROPN,1
mmbntu,ADJ,1
mnjaga,NOUN,1
mngetahui,VERB,1
mngetahui,NOUN,1
mndot,PROPN,1
mmmmantapppppp,PROPN,1
mmbntu,VERB,1
mmbntu,PROPN,1
nmbah,NOUN,1
umum,ADJ,1
nnti,PROPN,1
paham,VERB,1
panik,NOUN,1
sekaligus,ADV,1
paling,ADV,1
paket,NOUN,1
sekeliling,NOUN,1
pakai,VERB,1
pak,NOUN,1
pagi,NOUN,1
panjang,ADJ,1
padahal,ADV,1
selamat,ADJ,1
otot,NOUN,1
orng,NOUN,1
org,NOUN,1
tidak.bisa,NOUN,1
orang2,NOUN,1
panik,VERB,1
pantangan,NOUN,1
tidak2,NOUN,1
pasien2,PROPN,1
pasti,ADV,1
sehaaat,PROPN,1
untung,ADV,1
sehari,ADV,1
walaupun,CONJ,1
want,PROPN,1
pasilitas,NOUN,1
terjadwal,VERB,1
pantas,ADJ,1
untum,NOUN,1
sekali.ada,PROPN,1
parietal,NOUN,1
sekali.hati2,NUM,1
parah,ADJ,1
tukang,NOUN,1
panyakit,NUM,1
waooo,PROPN,1
ongkos,NOUN,1
nnti,VERB,1
twice,PROPN,1
nyampah,VERB,1
nyaman,ADJ,1
sempurna,NOUN,1
nya.sangat,NUM,1
nya,PROPN,1
welcome,VERB,1
nya,ADV,1
nusnsa,NOUN,1
sempurna,ADJ,1
nunggu,NOUN,1
semuanya,ADV,1
ntuk,NOUN,1
novita,PROPN,1
semus,NUM,1
wkwk,NUM,1
no,PROPN,1
nyesal.karna,NOUN,1
semoga,NOUN,1
on,VERB,1
offline,NOUN,1
on,NOUN,1
omong,PROPN,1
okk,PROPN,1
okey,PROPN,1
okee,PROPN,1
oke,NOUN,1
ok,PROPN,1
sembuh,VERB,1
nyesel,NOUN,1
tidur,VERB,1
obatan,NOUN,1
obat2tan,NUM,1
waras,NOUN,1
obat,VERB,1
seminggu,NOUN,1
semnjeka,PROPN,1
tiba2,NOUN,1
hpku,PROPN,1
klg,NUM,1
Recomended,PROPN,1
Sayangnya,ADV,1
Sanggat,PROPN,1
Sanagat,NOUN,1
Sampe,ADV,1
SalamSehat,NUM,1
Sakit,PROPN,1
Sagat,PROPN,1
SANGAT,PROPN,1
